SKOD	ARAC	KATEGORİ	ÜRÜN ADI	DURUM	etiket
115-001	15 PİN	RENAULT FIAT PEUGEOT             PMC 	51-1202 FIAT / PEUGEOT YAKIT POMPA ROLESI - RENAULT REZISTANS SOKETI		15001 15K001 2457A 15S001 15001 15K001
115-002	15 PİN	                	51-1372 UNIVERSAL SOKET ( 15 PIN )  ***KABLOSUZ		15004
115-003	15 PİN	                	51-1373 UNIVERSAL SOKET KARSILIGI ( 15 PIN )  ***KABLOSUZ		
116-001K	16 PİN	      MERCEDES          	51-1091-1 MERCEDES AXOR SANZIMAN SOKETI ***KABLOLU ( 16 PIN )		15K002 5894
116-002	16 PİN	  PEUGEOT              	51-1619 PEUGEOT TESİSAT ARA SOKETİ ( 16 PIN )		16005 5894 16S007 16005 16K005
116-002-1	16 PİN	      MERCEDES          	ŞANZUMAN SOKETİ MERCEDES GRİ (16 PİN)		1641
116-003	16 PİN	                	51-1412 TEYP SOKETI ( 16 PIN )		16003 16K003
116-004K	16 PİN	                	51-1409 CATERPILLER İŞ MAKİNASI & UNIVERSAL SOKET KABLOLU ( 16 PIN )		16001 16K001 1517 16S001 16001 16K001
116-005K	16 PİN	                	51-1410 CATERPILLER İŞ MAKİNASI & UNIVERSAL SOKET KARSILIGI KABLOLU ( 16 PIN )		16001E 16K001E 1518 16S002 16001E 16K001E
116-006	16 PİN	       FORD         	51-1480 FORD FOCUS & MONDEO & FİESTA  FAR SOKETI Y.M. ( 16 PIN )		16004A 16K004 5896 16S006 16004 16K004
116-007	16 PİN	       FORD         	51-1574 FORD FAR SOKETI ( 16 PIN )		16004 16K004 16004
116-008	16 PİN	                	51-1411 LAND ROVER FAR SOKETI KABLOSUZ ( 16 PIN )		16002 16K002 1605 16S005 16002
116-009	16 PİN	                	OBD SOKETI MAVI ( 16 PIN )		16006 16K006 16K006
116-010K	16 PİN	      MERCEDES          	MERCEDES PARK SENSÖR SOKETİ KABLOLU (16 PİN)		16007
116-011K	16 PİN	      MERCEDES          	MERCEDES PARK SENSÖR SOKETİ KARŞILIĞI KABLOLU (16 PİN)		16007E
116-012	16 PİN	   OPEL VOLKSWAGEN            	AUDİ & SEAT & SKODA & VW DSG SOKETİ VW / OPEL ZF ŞANZUMAN (16 PİN)		16010
116-013	16 PİN	    VOLKSWAGEN            	DSG -ŞANZUMAN SOKETİ *** VOLKSWAGEN - AUDİ A4-A5-A6 2013> (16 PİN)		16009
116-014	16 PİN	                	LAND ROVER FAR SOKETİ (TURUNCU) (16 PİN)		5798
116-015	16 PİN	  PEUGEOT              	BEYİN REZİSTANS SOKETİ PEUGEOT (16 PİN)		16008
116-016	16 PİN	    VOLKSWAGEN            	VW FAR ANAHTARI SOKETİ T4 / T5 / GOLF / BORA / PASSAT		16S10
116-017	16 PİN	       FORD         	FORD SANZIMAN SOKETİ (16 PIN)		16015
120-001	DİĞER	  PEUGEOT              	PEUGEOT REZİSTANS SOKETİ  (20 PİN)		20002
120-002	DİĞER	   OPEL             	ARKA KAPI SOKETİ OPEL ASTRA H *** TOPLAM BOY 30cm		19001
122-001	DİĞER	 FIAT               	FIAT EGEA DELPHI KAPI SOKETİ (22 PİN)	YENİ	
124-001-G	DİĞER	                	51-1092 LPG TESISAT SOKETI SIYAH ( 24 PIN )		ECU24K001 2401
124-001-S	DİĞER	                	51-1093 LPG TESISAT SOKETI SIYAH ( 24 PIN )		24001 ECU24K001E 2404 24001
124-002-S	DİĞER	                	51-1374 LPG TESISAT SOKETI KARSILIGI SIYAH ( 24 PIN )		24001E ECU24K001E 2403
125-001K	DİĞER	    VOLKSWAGEN            	VW / SEAT / SDOKA DSG ŞANZUMAN SOKETİ  (25 FİŞLİ / HEPSİ DOLU)		25001 25001 25K001
125-002	DİĞER	                	KAPI SOKETİ HONDA CIVIC TÜM MODELLER		
134-001K	DİĞER	 FIAT PEUGEOT     FORD         	FORD FİESTA 1.4 TDCİ & PUGEOT 206 307 C2 C3 1.4 HDI ENJEKTÖR TESİSATI & LİNEA KAPI SOKETİ  *****KABLOLU  (34 PİN)		34001
135-001	DİĞER	                	51-1268 UNIVERSAL SOKET ***DEMONTE ( 35 PIN )		
140-001	DİĞER	                	DSG ŞANZIMAN SOKETİ (DEMONTE-KABLOSUZ) (40 PİN)		ECU40K001 4896 40001
142-001	DİĞER	                	51-1600 BEYIN SOKETI ( 42 PIN )		42001 ECU42K001
146-001	DİĞER	RENAULT                	51-1580 KAPI SOKETI RENAULT MEGANE ( 46 PIN )		
146-002	DİĞER	RENAULT  PEUGEOT     FORD         	PEUGEOT - RENAULT - FORD BEYİN SOKETİ ***KAHVERENGİ (46 PIN)		
190-001	DİĞER	      MERCEDES          	51-1601 LPG BEYIN & ŞANZUMAN SOKETİ SOKETI ( 90 PIN )		90001 ECU90K001
TST-001	TESİSAT	       FORD        PMC 	51-1276 FORD FOCUS MONDEO FİESTA HIDROLIK DIREKSIYON POMPA SOKETI 3 Lİ SET  ***KABLOSUZ DEMONTE		
TST-002	TESİSAT	               PMC 	51-1244 DELPHI ENJEKTOR SOKETI & POMPA TEZGAH APARATLI  ( 2 PIN )		
TST-003	TESİSAT	               PMC 	51-1245 DELPHI YM ENJEKTOR SOKETI & POMPA TEZGAH APARATLI   ( 2 PIN )		
TST-004	TESİSAT	               PMC 	51-1346 BOSCH ENJEKTOR SOKETI & POMPA TEZGA APARATLI  ( 2 PIN )		
TST-005	TESİSAT	               PMC 	51-1348 DENSO ENJEKTOR SOKETI & POMPA TEZGAH APARATLI  ( 2 PIN )		
TST-006	TESİSAT	               PMC 	51-1349 SIEMENS ENJEKTOR SOKETI & POMPA TEZGAH APARATLI  ( 2 PIN )		
TST-007	TESİSAT	               PMC 	51-1351 ENJEKTOR TEST MAKINA APARATLI SOKET ( 2 PIN )		
TST-008	TESİSAT	                	51-1490 ENJEKTOR SOKETI ( 2 PIN )		
TST-009	TESİSAT	                	51-1189 DUCATO EGR ARA TESISATI ( 3 PIN )		
TST-010	TESİSAT	       FORD         KONJEKTOR	51-1204 FORD CONNECT FOCUS SARJ ARA TESISATI E.M. ( 3 PIN )		3023 3023 3K023
TST-010-2	TESİSAT	       FORD         KONJEKTOR	51-1204-2 FORD CONNECT FOCUS SARJ ARA TESISATI Y.M.		3023Y 3K023Y
TST-011	TESİSAT	                	51-1255 ROLELI FAR TESISATI H4		
TST-011-1	TESİSAT	                	51-1255-1 ROLELI FAR TESISATI H7		
TST-012	TESİSAT	  PEUGEOT     FORD         	51-1243 FORD & PEUGEOT EGR ARA TESİSATI    SIGMA SOKET 5/6 PIN		
TST-013	TESİSAT	                	51-1523 LPG ENJEKTÖR TESİSATI  2/6 PIN		
TST-014	TESİSAT	                	51-1217 MEGANE SIS FAR TESISATI		
TST-014-1	TESİSAT	                	51-1217-1 MEGANE SIS FAR TESISATI		
TST-015	TESİSAT	                	51-1262 9005 - 9006 SIS FAR TESISATI ROLELI		
TST-016	TESİSAT	    VOLKSWAGEN            	51-1263 VW GOLF JETTA CADDY SIS FARI + DIŞ SICAKLIK SENSÖR TESİSATI  ****ORJİNAL		
TST-017	TESİSAT	RENAULT                	51-1264 RENAULT 9 11 SPRİNG  BOBIN TESISATI		
TST-018	TESİSAT	          HYUNDAI      	51-1621 BENZİN ENJEKTOR TESISATI HYUNDAI ACCENT 06-11		
TST-019	TESİSAT	 FIAT               	51-1622 FİAT BENZINLI ENJEKTOR TESISATI DOBLO PALİO ALBEA LİNEA   1.4 8V		
TST-020	TESİSAT	 FIAT               	51-1611 KIZDIRMA BUJI TESISATI FIAT DOBLO PALİO ALBEA LİNEA 1.3 JTD		
TST-021	TESİSAT	       FORD         	51-1615 ENJEKTOR TESISATI P.206 1.4 HDİ & FIESTA 1.4 TDCİ SIEMENS ENJEKTORLÜ  + KIZDIRMA  BUJİLİ + KRANK SENSÖR SOKETLİ		
TST-021-1	TESİSAT	  PEUGEOT              	51-1615-2 CİTROEN C3 1.4 16 VALF HDI  ENJEKTOR TESISATI DELPHİ ENJEKTÖRLÜ + KRANK SENSÖR SOKETLİ		
TST-021-2	TESİSAT	  PEUGEOT              	51-1615-3 ENJEKTOR TESISATI PEUGEOT 1.4 HDI		
TST-021-3	TESİSAT	       FORD         	51-1615-4 FORD FIESTA 1.4 TDCİ  ENJEKTOR TESISATI  SİEMENS ENJEKTÖRLÜ + VOLANT SENSÖR KABLOLU		
TST-021-4	TESİSAT	  PEUGEOT     FORD         	51-1615-5 PEUGEOT 206 1.4 HDİ & FORD FIESTA 1.4 TDCİ ENJEKTOR TESISATI    BOSCH ENJEKTORLU + KIZDIRMA BUJİ SOKETLİ  + VOLANT SENSÖR SOKETLİ		
TST-021-5	TESİSAT	  PEUGEOT     FORD         	51-1615-6 PEUGEOT 206 1.4 HDİ  BOSCH ENJEKTORLÜ  + KRANK SENSÖR SOKETLİ MOTOR TESİSATI		
TST-022	TESİSAT	RENAULT                	51-1620 RENAULT MEGANE II 1.6 16 VALF  BENZİN ENJEKTOR TESISATI		
TST-023	TESİSAT	  PEUGEOT              	51-1623 CITROEN PEUGEOT TERMOSTAT ARA KABLOSU ***ORJJİNAL		
TST-024	TESİSAT	    VOLKSWAGEN            	51-1265 VW GOLF V & JETTA 1.6 BSE BSF KOMPLE MOTOR TESISATI		
TST-025	TESİSAT	RENAULT                	51-1266 MEGANE PLAKA LAMBA TESISATI  ****ORJİNAL		
TST-026	TESİSAT	   OPEL             	51-1454 OPEL VECTRA B 2.0  X20XEV ( OTOMATİK VITES ) KOMPLE MOTOR TESISATI ****EKSANTRİK SOKETİ KARE		
TST-026-1	TESİSAT	   OPEL             	51-1454-1 OPEL VECTRA B 2.0  X20XEV ( MANUEL VITES ) KOMPLE MOTOR TESISATI E.M ***EKSANTRİK SOKETİ KARE		
TST-026-2	TESİSAT	   OPEL             	51-1454-2 OPEL VECTRA B 2.0  X20XEV ( MANUEL VITES ) KOMPLE MOTOR TESISATI Y.M  ***EKSANTRİK SOKETİ OVAL		
TST-026-3	TESİSAT	   OPEL             	51-1454 OPEL VECTRA B 2.0 X20 XEV (OTOM. VİT.) (OVAL SOKET) MOTOR TESİSATI		
TST-027	TESİSAT	                	51-1571 SIS TESISATI		
TST-029	TESİSAT	      MERCEDES          	51-1624 BOBIN SOKETI MERCEDES		
TST-031	TESİSAT	          HYUNDAI      KONJEKTOR	HYUNDAI H100 - EXCEL ŞARJ DİNAMO ARA TESİSATI ( 102-038 ) + (102-154 )		
TST-032	TESİSAT	    VOLKSWAGEN           PMC 	ENJEKTÖR TESİSATI VW GOLF IV-V BORA 1.9 TDI - PASSAT 2.0 TDI 4 SİLİNDİR TRANSPORTER T5 CADDY  ****( ORJİNAL ÜRÜN ) SİEMENS ENKEKTÖRLÜ		
TST-035	TESİSAT	 FIAT               	KIZDIRMA BUJI TESISATI FIAT LİNEA / DOBLO / EGEA / FIORİNO 1.3 MJET	YENİ	
TST-D1S	TESİSAT	                	51-1361 D1S XENON AMPUL SOKETI		
TST-D1S-1	TESİSAT	                	51-1361 D1S-D3S XENON AMPUL SOKETI		HB13
TST-D2S	TESİSAT	                	51-1457  ÜNİVERSAL D2S XENON AMPUL SOKETI		HB12
TST-D3S	TESİSAT	                	51-1464 D3S XENON AMPUL SOKETI		
TYP-9001	TEYİP	                	TEYP SOKETLERI 16 PIN		
TYP-9001-1	TEYİP	                	TEYP SOKETI ISO SOKET DISI 16 PIN		
TYP-9001-2	TEYİP	                	TEYP SOKETI MP3-ISO DISI SOKET 20 PIN		
TYP-9001-3	TEYİP	                	TEYP SOKETI PI16B-00 16 PIN		
TYP-9001-4	TEYİP	                	TEYP SOKETI PIONEER 1750-2750-4650 SOKET EN SON SERI ICIN G-522B 16 PIN		
TYP-9001-5	TEYİP	                	TEYP SOKETI BLAPUNKT AUX SOKET MAVI 8 PIN		
TYP-9001-6	TEYİP	       FORD         	FORD TEYP SOKETI KNF/594 16 PIN		
TYP-9001-7	TEYİP	                	TEYP SOKETI PIONEER-ISO DISI ARA KABLO 16 PIN		
TYP-9001-8	TEYİP	       FORD         	TEYP SOKETI ***FORD STANDART DISI SOKETLI 12 PIN		
TYP-9001-9	TEYİP	                	TEYP SOKETI PI/16-04 ( PIONEER 2050-3050 SOKET - G-522B 16 PIN		
TYP-9001-10	TEYİP	                	TEYP SOKETI ARABA SOKETI 4 PIN		
TYP-9001-11	TEYİP	                	TEYP SOKETI ARABA SOKETI 12 PIN		
TYP-9001-12	TEYİP	                	TEYP SOKETI ARABA SOKETI 2 PIN		
TYP-9001-13	TEYİP	RENAULT                	TEYP SOKETI RENAULT AUX KABLO POWERMASTER		
TYP-9001-14	TEYİP	                	TEYP SOKETI ISO SOKET ERKEK 8 PIN		
53-1301-1	DUY	   OPEL             	FAR AMPUL DUYU OPEL ASTRA G (H7)		HB24
53-9054-1	DUY	                	T20 TEK DUY AMPUL DUYU ( BÜYÜK ) KALİTELİ		
53-9054-2	DUY	    VOLKSWAGEN            	53 AMPUL DUYU ****VW TRANSPORTER T4 ÖN PARK DUYU		
53-9054-3	DUY	                	T20 DİPSİZ TEK DUY AMPUL DUYU HELLA TİPİ		HB33A
53-9054-4	DUY	RENAULT FIAT               	DİPSİZ AMPÜL DUYU ***  TOFAŞ-RENAULT ( 2 PİN)		HB22C
53-9054-4-1	DUY	RENAULT FIAT               	DİPSİZ AMPÜL DUYU *** KABLOLU  *** UNIVERSAL ( 2 PİN)	YENİ	HB22K
53-9054-5	DUY	RENAULT FIAT               	AMPUL AMPÜL DUYU TOFAŞ-RENAULT		HB006 HB22
53-9054-6	DUY	   OPEL             	OPEL PARK / ÇAMURLUK SİNYAL DUYU ( DİPSİZ AMPUL )		HBT10S HB22F
53-9054-7	DUY	                	PARK AMPUL DUYU		
53-9054-8	DUY	                	ÇİFT DUY AMPUL SOKETİ		HB26
53-9054-9	DUY	                	H1 AMPUL DUYU SUPER SEAL SOKETLİ SİYAH		HB25
53-9054-10	DUY	                	H1 ÜNİVERSAL H1  AMPUL DUYU SİGMA SOKETLİ MAVİ		HB25Y
53-9054-11	DUY	                	ÇİFTLİ AMPUL DUYU KOMPLE		HB41
53-9054-12	DUY	                	TEKLİ AMPUL DUYU KOMPLE		HB40
53-9054-13	DUY	RENAULT  PEUGEOT              	SİNYAL DUYU RENAULT MEGANE III / PEUGEOT P308 - P407 -C3 - DS3 PY21W		HB007 HB39
53-9054-14	DUY	                	93 TEK DUY AMPUL DUYU		HBT10TD HB30
53-9054-15	DUY	                	1016 ÇİFT DUY AMPUL ***DUYU		HBT20ÇD HB31
53-9054-16	DUY	                	T20 ÇİFT DUY DİPSİZ AMPUL DUYU		HBT20ÇD
53-9054-17	DUY	                	T20 ÇİFT DUY DİPSİZ AMPUL DUYU *** 3 KABLOLU		HB33
53-9054-18	DUY	    VOLKSWAGEN            	H21 AMPUL DUYU ***KABLOLU  MEGANE IV STOP DUYU	YENİ	HBH21 HB36K
53-9054-18-1	DUY	    VOLKSWAGEN            	H21 AMPUL DUYU VW  PASSAT B8  / CC / GOLF VII / A5	YENİ	HB36
53-9054-18-2	DUY	                	H21 AMPUL DUYU ***KABLOLU CLIO IV STOP DUYU	YENİ	HB002
53-9054-19	DUY	       FORD         	FORD FOCUS YAN SİNYAL DUYU		
53-9054-20	DUY	    VOLKSWAGEN            	DİPSİZ AMPUL DUYU VW SOKETLİ		HB34
53-9054-21	DUY	    VOLKSWAGEN            	DİPSİZ AMPUL DUYU VW SOKETLİ		
53-9054-22	DUY	       FORD         	AMPUL DUYU ( P21W (93 AMPUL )) FORD FIESTA VII		HB38
53-9054-23	DUY	          HYUNDAI      	PARK AMPÜL DUYU (16W) HYUNDAI ACCENT ADMİRA		
53-9054-24	DUY	    VOLKSWAGEN            	PARK AMPÜL DUYU (16W) VW SOKETLİ		
53-9054-25	DUY	    VOLKSWAGEN            	93 TEK DUY AMPUL DUYU *** Y.M. VOLKSWAGEN ( 2 PIN )	YENİ	HB29
53-9054-26	DUY	    VOLKSWAGEN            	VOLKSWAGEN GOLF POLO JETTA BORA SANTANA PLAKA AMPUL DUYU ( T5 - T10 )	YENİ	DUY-2007A
53-9054-27	DUY	RENAULT                	GÜNDÜZ FAR AMPUL DUYU RENAULT DACIA	YENİ	HB008
53-9054-28	DUY	    VOLKSWAGEN  MERCEDES          	VW MERCEDES AUDI SEAT T5 T10 DUY	YENİ	DUY-2039
